username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,506,2020-06-29 07:01:47,2020-08-02 18:36:01,3,"So today was a wrap on the SVM Algo. We talked about the OVO and OVR. Then we did an overall study of the parameters and attributes for the SVM.
@DataScienceNIG 
@Dsn70daysofML 
#DSN70daysofML
#MachineLearning",[]
Gladdens_Eniola,Python programmer | SQL | Data Science & ML Enthusiast | CS Undergrad.,"Lagos, Nigeria",275,77,158,2016-09-26 17:46:45,2020-08-02 18:35:44,3,"So today was a wrap on the SVM Algo. We talked about the OVO and OVR. Then we did an overall study of the parameters and attributes for the SVM.
@DataScienceNIG 
@Dsn70daysofML 
#DSN70daysofML
#MachineLearning","[{'text': 'DSN70daysofML', 'indices': [178, 192]}, {'text': 'MachineLearning', 'indices': [193, 209]}]"
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,506,2020-06-29 07:01:47,2020-08-01 23:01:48,2,"@DataScienceNIG  #DSN70daysofml @AiPlus_FUTA  #GIS #geospatial #Day32 Continuation on Kernel ,different types of Kernel were used .linearly separated overlapping data will always lead to soft margin to get proper optimization result.","[{'text': 'DSN70daysofml', 'indices': [36, 50]}, {'text': 'GIS', 'indices': [65, 69]}, {'text': 'geospatial', 'indices': [70, 81]}, {'text': 'Day32', 'indices': [82, 88]}]"
gischatbot,"A friendly bot from the GIS community! Check my TL for an interesting #gischat convo. and related GIS kinds of stuff!
Issues DM  @jeafreezy @adiguntoba",Everywhere,369,351,3954,2020-04-08 14:30:59,2020-08-01 23:01:05,2,"@DataScienceNIG  #DSN70daysofml @AiPlus_FUTA  #GIS #geospatial #Day32 Continuation on Kernel ,different types of Kernel were used .linearly separated overlapping data will always lead to soft margin to get proper optimization result.","[{'text': 'DSN70daysofml', 'indices': [36, 50]}, {'text': 'GIS', 'indices': [65, 69]}, {'text': 'geospatial', 'indices': [70, 81]}, {'text': 'Day32', 'indices': [82, 88]}]"
elisha_ekanem,,,1334,328,546,2017-08-22 12:38:28,2020-08-01 23:01:00,2,"@DataScienceNIG  #DSN70daysofml @AiPlus_FUTA  #GIS #geospatial #Day32 Continuation on Kernel ,different types of Kernel were used .linearly separated overlapping data will always lead to soft margin to get proper optimization result.","[{'text': 'DSN70daysofml', 'indices': [17, 31]}, {'text': 'GIS', 'indices': [46, 50]}, {'text': 'geospatial', 'indices': [51, 62]}, {'text': 'Day32', 'indices': [63, 69]}]"
SSXman2,I'm a biologist,"Benin-City, Nigeria",4968,4348,351739,2017-07-28 08:00:40,2020-08-01 22:34:25,3,"#Day32 of #DSN70daysofML 

Realistically, getting linearly separable data in a real world dataset is rare...... But SVM got a way out 💥 We did just that today 👏

Happy New Month

@DataScienceNIG @Dsn70daysofML @AiUnilorin #MachineLearning  @bayoadekanmbi","[{'text': 'Day32', 'indices': [15, 21]}, {'text': 'DSN70daysofML', 'indices': [25, 39]}]"
_codenewbiebot,Beep boop. I am a bot created by https://t.co/i0ytpsE5Sj to support code newbies.,,9,408,37992,2020-05-31 11:17:02,2020-08-01 22:18:00,4,"Day [32/70]
Lessons for today was based on some example code working with cvxopt and working with kernels being applied to svm .
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning",[]
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,506,2020-06-29 07:01:47,2020-08-01 22:17:55,4,"Day [32/70]
Lessons for today was based on some example code working with cvxopt and working with kernels being applied to svm .
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning",[]
CodeGnuts,Just a bot helping coders show their progress. Automation built in #NodeJs by @AdamSpiceOnline. #100DaysOfCode,,0,1540,195631,2020-05-28 22:26:07,2020-08-01 22:17:14,4,"Day [32/70]
Lessons for today was based on some example code working with cvxopt and working with kernels being applied to svm .
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning",[]
gold_ochim,...🌇,"Abuja, Nigeria",507,112,227,2018-02-25 19:40:54,2020-08-01 22:17:09,4,"Day [32/70]
Lessons for today was based on some example code working with cvxopt and working with kernels being applied to svm .
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning","[{'text': 'DSN70DaysOfML', 'indices': [129, 143]}, {'text': 'Python', 'indices': [144, 151]}, {'text': 'CodeNewbie', 'indices': [152, 163]}, {'text': 'MachineLearning', 'indices': [164, 180]}]"
youngapp_pf,"AI-driven text data extracting APIs for business automation 🙌 🙌
#API #OCR #Machinelearning #AI #Automation","Paris, France",3608,2022,31400,2015-11-29 14:15:48,2020-08-01 22:09:14,3,"#Day32 of #DSN70daysofML 

Realistically, getting linearly separable data in a real world dataset is rare...... But SVM got a way out 💥 We did just that today 👏

Happy New Month

@DataScienceNIG @Dsn70daysofML @AiUnilorin #MachineLearning  @bayoadekanmbi","[{'text': 'Day32', 'indices': [15, 21]}, {'text': 'DSN70daysofML', 'indices': [25, 39]}]"
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,506,2020-06-29 07:01:47,2020-08-01 21:26:42,3,"#Day32 of #DSN70daysofML 

Realistically, getting linearly separable data in a real world dataset is rare...... But SVM got a way out 💥 We did just that today 👏

Happy New Month

@DataScienceNIG @Dsn70daysofML @AiUnilorin #MachineLearning  @bayoadekanmbi","[{'text': 'Day32', 'indices': [15, 21]}, {'text': 'DSN70daysofML', 'indices': [25, 39]}]"
fikkyman1,"Christ! 📢
Tech boy 💻
United ✨✨",Nigeria,417,74,293,2014-09-06 18:56:18,2020-08-01 21:25:14,3,"#Day32 of #DSN70daysofML 

Realistically, getting linearly separable data in a real world dataset is rare...... But SVM got a way out 💥 We did just that today 👏

Happy New Month

@DataScienceNIG @Dsn70daysofML @AiUnilorin #MachineLearning  @bayoadekanmbi","[{'text': 'Day32', 'indices': [0, 6]}, {'text': 'DSN70daysofML', 'indices': [10, 24]}, {'text': 'MachineLearning', 'indices': [222, 238]}]"
developersbot,"I serve as a motivator to programmers 👨‍💻@engg_rky programmed me in #NodeJS. I’m working 24x7 & now hungry, please feed me your FOLLOW 👍 otherwise I’ll DIE💀",AWS Server,1,1165,75092,2020-05-31 19:31:30,2020-08-01 17:35:52,3,"Big shout-out to  @AIplus_OAU  @DataScienceNIG. 
Yeah!🤗 ...took the lead in the DSN AI+ OAU July Challenge.
#70DaysofML
#MachineLearning https://t.co/hIq4Xihxtf","[{'text': '70DaysofML', 'indices': [123, 134]}]"
Elishatofunmi,Machine learning researcher|Engineering| @DataScienceNIG community manager| founder of #pyladiesife #pythonife #widsife #DataScienceIfe,"Lagos, Nigeria",493,621,1885,2017-09-15 12:34:13,2020-08-01 17:35:50,3,"Big shout-out to  @AIplus_OAU  @DataScienceNIG. 
Yeah!🤗 ...took the lead in the DSN AI+ OAU July Challenge.
#70DaysofML
#MachineLearning https://t.co/hIq4Xihxtf","[{'text': '70DaysofML', 'indices': [123, 134]}]"
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,506,2020-06-29 07:01:47,2020-08-01 11:51:31,1,"Today we looked at a code impplementing the Soft Margin SVM, Kernels and CVXOPT.
@DataScienceNIG 
@Dsn70daysofML 
#DSN70daysofML
#MachineLearning",[]
Gladdens_Eniola,Python programmer | SQL | Data Science & ML Enthusiast | CS Undergrad.,"Lagos, Nigeria",275,77,158,2016-09-26 17:46:45,2020-08-01 11:50:37,1,"Today we looked at a code impplementing the Soft Margin SVM, Kernels and CVXOPT.
@DataScienceNIG 
@Dsn70daysofML 
#DSN70daysofML
#MachineLearning","[{'text': 'DSN70daysofML', 'indices': [114, 128]}, {'text': 'MachineLearning', 'indices': [129, 145]}]"
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,506,2020-06-29 07:01:47,2020-07-31 22:30:48,1,"@DataScienceNIG  #DSN70daysofMl #Day31 #GIS @o_funminiyi  .Continuation with Kernel more explanation how it is used to transform data to a higher dimension,.Soft Margin was discussed and the degree of it error called SLACK which must be greater than or equal to Zero","[{'text': 'DSN70daysofMl', 'indices': [36, 50]}, {'text': 'Day31', 'indices': [51, 57]}, {'text': 'GIS', 'indices': [58, 62]}]"
elisha_ekanem,,,1334,328,546,2017-08-22 12:38:28,2020-07-31 22:30:16,1,"@DataScienceNIG  #DSN70daysofMl #Day31 #GIS @o_funminiyi  .Continuation with Kernel more explanation how it is used to transform data to a higher dimension,.Soft Margin was discussed and the degree of it error called SLACK which must be greater than or equal to Zero","[{'text': 'DSN70daysofMl', 'indices': [17, 31]}, {'text': 'Day31', 'indices': [32, 38]}, {'text': 'GIS', 'indices': [39, 43]}]"
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,506,2020-06-29 07:01:47,2020-07-31 22:20:34,1,"Day 31 of #DSN70DaysOfML touched more on Kernels and soft margin kernels!! Had to watch the video twice to understand it. But then, We move!!
@DataScienceNIG","[{'text': 'DSN70DaysOfML', 'indices': [24, 38]}]"
M4Mayowa,"**Civil Engineering**Data Science**Arts**               
               #Jw
'I just wanna perspire to acquire and feel alright'",,126,43,77,2020-06-12 20:54:27,2020-07-31 22:19:23,1,"Day 31 of #DSN70DaysOfML touched more on Kernels and soft margin kernels!! Had to watch the video twice to understand it. But then, We move!!
@DataScienceNIG","[{'text': 'DSN70DaysOfML', 'indices': [10, 24]}]"
techtrendingnow,"Follow me for update about what trend in tech right now : GPT-3 | AI | BlockChain etc... Like My Work? plz, Buy Me A coffee: https://t.co/UWL6Aa3dbq",,81,584,43316,2018-06-22 10:41:21,2020-07-31 20:12:18,3,"Day[31/70]
Soft Margins svm

#DSN70DaysOfML #Python #CodeNewbie #MachineLearning","[{'text': 'DSN70DaysOfML', 'indices': [45, 59]}, {'text': 'Python', 'indices': [60, 67]}, {'text': 'CodeNewbie', 'indices': [68, 79]}, {'text': 'MachineLearning', 'indices': [80, 96]}]"
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,506,2020-06-29 07:01:47,2020-07-31 19:32:15,3,"Day[31/70]
Soft Margins svm

#DSN70DaysOfML #Python #CodeNewbie #MachineLearning","[{'text': 'DSN70DaysOfML', 'indices': [45, 59]}, {'text': 'Python', 'indices': [60, 67]}, {'text': 'CodeNewbie', 'indices': [68, 79]}, {'text': 'MachineLearning', 'indices': [80, 96]}]"
gold_ochim,...🌇,"Abuja, Nigeria",507,112,227,2018-02-25 19:40:54,2020-07-31 19:31:46,3,"Day[31/70]
Soft Margins svm

#DSN70DaysOfML #Python #CodeNewbie #MachineLearning","[{'text': 'DSN70DaysOfML', 'indices': [29, 43]}, {'text': 'Python', 'indices': [44, 51]}, {'text': 'CodeNewbie', 'indices': [52, 63]}, {'text': 'MachineLearning', 'indices': [64, 80]}]"
Pardoe_AI,"#AI #Influencer, #Advisor & #Investor. Host https://t.co/KgQ8kD7Wn4 Founder of @Informed_AI @Neurons_AI & @Awards_AI #intoAI CEO @Pardoe_VC CAIO @Combined_Intell",Global,7406,15150,185750,2014-07-06 12:41:41,2020-07-31 16:46:04,2,"We talked about the Soft Margin SVM and its degree of error called Slack today at the #DSN70daysofML. 
Slack is &gt;=0.
@DataScienceNIG 
@Dsn70daysofML 
#MachineLearning 
#SVM","[{'text': 'DSN70daysofML', 'indices': [107, 121]}]"
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,506,2020-06-29 07:01:47,2020-07-31 14:24:51,2,"We talked about the Soft Margin SVM and its degree of error called Slack today at the #DSN70daysofML. 
Slack is &gt;=0.
@DataScienceNIG 
@Dsn70daysofML 
#MachineLearning 
#SVM","[{'text': 'DSN70daysofML', 'indices': [107, 121]}]"
Gladdens_Eniola,Python programmer | SQL | Data Science & ML Enthusiast | CS Undergrad.,"Lagos, Nigeria",275,77,158,2016-09-26 17:46:45,2020-07-31 14:24:42,2,"We talked about the Soft Margin SVM and its degree of error called Slack today at the #DSN70daysofML. 
Slack is &gt;=0.
@DataScienceNIG 
@Dsn70daysofML 
#MachineLearning 
#SVM","[{'text': 'DSN70daysofML', 'indices': [86, 100]}, {'text': 'MachineLearning', 'indices': [153, 169]}, {'text': 'SVM', 'indices': [171, 175]}]"
machine_ml,"Here, we retweet everything related to #MachineLearning
-
Data Science with Python: https://t.co/0HeXi52hwW
-
IBM Data Science Professional: https://t.co/NGM1EBnTyB",,21,10761,132259,2018-06-06 04:55:52,2020-07-31 14:16:44,5,"Day 31: Soft margin SVM -  practical machine learning tutorial with python p.31 @DataScienceNIG

•For a more generalised model you need to find the best kernel that represents the dataset.

#DSN70DaysOfML
#AIBootcamp2020
#MachineLearning
#Python3",[]
BrainRoaring,"Unapologetically multidisciplinarian. Musings on tech, business, geopolitics and culture.",,1,1494,88360,2018-04-21 19:48:36,2020-07-31 14:14:46,5,"Day 31: Soft margin SVM -  practical machine learning tutorial with python p.31 @DataScienceNIG

•For a more generalised model you need to find the best kernel that represents the dataset.

#DSN70DaysOfML
#AIBootcamp2020
#MachineLearning
#Python3",[]
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,506,2020-06-29 07:01:47,2020-07-31 14:14:32,5,"Day 31: Soft margin SVM -  practical machine learning tutorial with python p.31 @DataScienceNIG

•For a more generalised model you need to find the best kernel that represents the dataset.

#DSN70DaysOfML
#AIBootcamp2020
#MachineLearning
#Python3",[]
techtrendingnow,"Follow me for update about what trend in tech right now : GPT-3 | AI | BlockChain etc... Like My Work? plz, Buy Me A coffee: https://t.co/UWL6Aa3dbq",,81,584,43316,2018-06-22 10:41:21,2020-07-31 14:14:25,5,"Day 31: Soft margin SVM -  practical machine learning tutorial with python p.31 @DataScienceNIG

•For a more generalised model you need to find the best kernel that represents the dataset.

#DSN70DaysOfML
#AIBootcamp2020
#MachineLearning
#Python3",[]
SamuelMbah_,Data Analytics Enthusiast | iTeach MS-Excel & PowerBI || Limitless 🐆 || #Excel #PowerBI #Python #Tableau  #ML,Nigeria,631,2305,5021,2012-10-26 09:19:08,2020-07-31 14:14:14,5,"Day 31: Soft margin SVM -  practical machine learning tutorial with python p.31 @DataScienceNIG

•For a more generalised model you need to find the best kernel that represents the dataset.

#DSN70DaysOfML
#AIBootcamp2020
#MachineLearning
#Python3","[{'text': 'DSN70DaysOfML', 'indices': [190, 204]}, {'text': 'AIBootcamp2020', 'indices': [205, 220]}, {'text': 'MachineLearning', 'indices': [221, 237]}, {'text': 'Python3', 'indices': [238, 246]}]"
Its_the_will,Lover of Music 🎧 | Aries ♈ | Technophile 😎 | Data Scientist 👨‍🔬 | 🌍 Web Developer | Google Cloud Developer 👨‍💻 | @repotecc,"Port Harcourt, Nigeria",323,103,1124,2017-05-29 16:10:03,2020-07-31 13:13:00,0,"@DataScienceNIG #70daysofML

This bootcamp has been really fun and engaging. In my opinion, it has been more of a Deep Learning demystified course than a bootcamp, a lot of concepts has been expounded. Just amazing.","[{'text': '70daysofML', 'indices': [16, 27]}]"
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,506,2020-06-29 07:01:47,2020-07-31 12:53:55,1,"From today's lecture @DeepMind 
How well do you know Sequence model? #DSN70DaysOfML @DataScienceNIG https://t.co/ywVusCCd2D","[{'text': 'DSN70DaysOfML', 'indices': [90, 104]}]"
SirOnuigweVitus,📌Data Scientist #Radiographer☢️ Deep Learning Researcher 🐉✈️🌍 Mentor @deeplearningai_,Nigeria,1648,1963,33102,2015-12-24 00:50:44,2020-07-31 12:53:10,1,"From today's lecture @DeepMind 
How well do you know Sequence model? #DSN70DaysOfML @DataScienceNIG https://t.co/ywVusCCd2D","[{'text': 'DSN70DaysOfML', 'indices': [69, 83]}]"
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,506,2020-06-29 07:01:47,2020-07-31 00:28:59,1,I am so glad I got an opportunity to register for this. It has been an amazing experience all the way and I know lots more are yet to come #DSN70daysofML,[]
Engr_et_realtor,"A Petroleum engineer by course, a realtor by profession.","Lekki, Nigeria",135,28,139,2019-01-14 15:00:47,2020-07-31 00:28:21,1,I am so glad I got an opportunity to register for this. It has been an amazing experience all the way and I know lots more are yet to come #DSN70daysofML,"[{'text': 'DSN70daysofML', 'indices': [139, 153]}]"
techtrendingnow,"Follow me for update about what trend in tech right now : GPT-3 | AI | BlockChain etc... Like My Work? plz, Buy Me A coffee: https://t.co/UWL6Aa3dbq",,81,584,43316,2018-06-22 10:41:21,2020-07-30 23:45:24,2,"Day 30: Why Kernels -  practical machine learning tutorial with python p.30 @DataScienceNIG 

•Given the plane transformation K(x,x_prime) = Z.Z_prime, if Z is a function of x, then Z_prime is a function of x_prime.

#DSN70DaysOfML
#AIBootcamp2020
#MachineLearning
#Python3",[]
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,506,2020-06-29 07:01:47,2020-07-30 23:45:18,2,"Day 30: Why Kernels -  practical machine learning tutorial with python p.30 @DataScienceNIG 

•Given the plane transformation K(x,x_prime) = Z.Z_prime, if Z is a function of x, then Z_prime is a function of x_prime.

#DSN70DaysOfML
#AIBootcamp2020
#MachineLearning
#Python3",[]
SamuelMbah_,Data Analytics Enthusiast | iTeach MS-Excel & PowerBI || Limitless 🐆 || #Excel #PowerBI #Python #Tableau  #ML,Nigeria,631,2305,5021,2012-10-26 09:19:08,2020-07-30 23:45:10,2,"Day 30: Why Kernels -  practical machine learning tutorial with python p.30 @DataScienceNIG 

•Given the plane transformation K(x,x_prime) = Z.Z_prime, if Z is a function of x, then Z_prime is a function of x_prime.

#DSN70DaysOfML
#AIBootcamp2020
#MachineLearning
#Python3","[{'text': 'DSN70DaysOfML', 'indices': [217, 231]}, {'text': 'AIBootcamp2020', 'indices': [232, 247]}, {'text': 'MachineLearning', 'indices': [248, 264]}, {'text': 'Python3', 'indices': [265, 273]}]"
AIplus_OAU,"@DataScienceNIG AI Community in OAU // AI meetups/training for knowledge, research and innovation. Lead: @paul_okewunmi #1m_AI_talents_in_10_years","Ife, Nigeria",280,602,935,2018-10-22 18:30:10,2020-07-30 22:26:30,3,"Big shout-out to  @AIplus_OAU  @DataScienceNIG. 
Yeah!🤗 ...took the lead in the DSN AI+ OAU July Challenge.
#70DaysofML
#MachineLearning https://t.co/hIq4Xihxtf","[{'text': '70DaysofML', 'indices': [123, 134]}]"
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,506,2020-06-29 07:01:47,2020-07-30 22:23:45,2,"Day 29: Kernels Introduction -  practical machine learning tutorial with python p.29
@DataScienceNIG 

•SVM performs much better if the data is Linearly Separable.

#DSN70DaysOfML
#AIBootcamp2020
#MachineLearning
#Python3",[]
DeleLinus,Mewzik in its entireties | Python | Data Science | Machine Learning | web development | AI | Robotics | Graphics | Academics Tutor | CRUISE LOVER😁,"Ogbomosho, Nigeria",122,44,25,2015-10-26 13:15:01,2020-07-30 22:23:43,3,"Big shout-out to  @AIplus_OAU  @DataScienceNIG. 
Yeah!🤗 ...took the lead in the DSN AI+ OAU July Challenge.
#70DaysofML
#MachineLearning https://t.co/hIq4Xihxtf","[{'text': '70DaysofML', 'indices': [108, 119]}, {'text': 'MachineLearning', 'indices': [120, 136]}]"
SamuelMbah_,Data Analytics Enthusiast | iTeach MS-Excel & PowerBI || Limitless 🐆 || #Excel #PowerBI #Python #Tableau  #ML,Nigeria,631,2305,5021,2012-10-26 09:19:08,2020-07-30 22:23:21,2,"Day 29: Kernels Introduction -  practical machine learning tutorial with python p.29
@DataScienceNIG 

•SVM performs much better if the data is Linearly Separable.

#DSN70DaysOfML
#AIBootcamp2020
#MachineLearning
#Python3","[{'text': 'DSN70DaysOfML', 'indices': [165, 179]}, {'text': 'AIBootcamp2020', 'indices': [180, 195]}, {'text': 'MachineLearning', 'indices': [196, 212]}, {'text': 'Python3', 'indices': [213, 221]}]"
GeomaticsFeed,Geomatics Geoinformatics Updates and latest news.,Internet,269,1688,43996,2017-12-21 02:54:24,2020-07-30 21:34:08,3,"Features set which is a vector is transform to a Z space using 2nd order polynomial, If Features set of X has two dimension when converted to 2nd order polynomial will yield 6 dimension. @DataScienceNIG #DSN70daysofml @AiPlus_FUTA  #Day30 #GIS @o_funminiyi",[]
andrewmorrisuk,Passionate about how IT solutions can bring positive value to our business and personal lives. Proud #autisticparent,Bedford,894,11393,423094,2014-02-23 21:58:16,2020-07-30 21:05:27,2,"Day [30/70].....43%..........
KERNELS: major takeaway for today....
Default kernel for svm in scikit-learn is the Radio Base Function (RBF)
The Calculation part for today was clear...so glad!
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning",[]
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,506,2020-06-29 07:01:47,2020-07-30 21:05:03,2,"Day [30/70].....43%..........
KERNELS: major takeaway for today....
Default kernel for svm in scikit-learn is the Radio Base Function (RBF)
The Calculation part for today was clear...so glad!
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning",[]
gold_ochim,...🌇,"Abuja, Nigeria",507,112,227,2018-02-25 19:40:54,2020-07-30 21:04:25,2,"Day [30/70].....43%..........
KERNELS: major takeaway for today....
Default kernel for svm in scikit-learn is the Radio Base Function (RBF)
The Calculation part for today was clear...so glad!
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning","[{'text': 'DSN70DaysOfML', 'indices': [192, 206]}, {'text': 'Python', 'indices': [207, 214]}, {'text': 'CodeNewbie', 'indices': [215, 226]}, {'text': 'MachineLearning', 'indices': [227, 243]}]"
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,506,2020-06-29 07:01:47,2020-07-30 20:47:35,3,"Features set which is a vector is transform to a Z space using 2nd order polynomial, If Features set of X has two dimension when converted to 2nd order polynomial will yield 6 dimension. @DataScienceNIG #DSN70daysofml @AiPlus_FUTA  #Day30 #GIS @o_funminiyi",[]
gischatbot,"A friendly bot from the GIS community! Check my TL for an interesting #gischat convo. and related GIS kinds of stuff!
Issues DM  @jeafreezy @adiguntoba",Everywhere,369,351,3954,2020-04-08 14:30:59,2020-07-30 20:46:43,3,"Features set which is a vector is transform to a Z space using 2nd order polynomial, If Features set of X has two dimension when converted to 2nd order polynomial will yield 6 dimension. @DataScienceNIG #DSN70daysofml @AiPlus_FUTA  #Day30 #GIS @o_funminiyi",[]
elisha_ekanem,,,1334,328,546,2017-08-22 12:38:28,2020-07-30 20:46:37,3,"Features set which is a vector is transform to a Z space using 2nd order polynomial, If Features set of X has two dimension when converted to 2nd order polynomial will yield 6 dimension. @DataScienceNIG #DSN70daysofml @AiPlus_FUTA  #Day30 #GIS @o_funminiyi","[{'text': 'DSN70daysofml', 'indices': [203, 217]}, {'text': 'Day30', 'indices': [232, 238]}, {'text': 'GIS', 'indices': [239, 243]}]"
